[+0.0000000000000e+00, +0.0000000000000e+00]
[-1.3869528329396e+07, -1.3869528329396e+07]
[-1.3869124846572e+07, -1.3869124846572e+07]
[-1.3868718266409e+07, -1.3868718266409e+07]
[-1.3868308591479e+07, -1.3868308591479e+07]
[-1.3867895824373e+07, -1.3867895824373e+07]
[-1.3867479967700e+07, -1.3867479967700e+07]
[-1.3867061024090e+07, -1.3867061024090e+07]
[-1.3866638996190e+07, -1.3866638996190e+07]
[-1.3866213886666e+07, -1.3866213886666e+07]
[-1.3865785698202e+07, -1.3865785698202e+07]
[-1.3865354433502e+07, -1.3865354433502e+07]
[-1.3864920095287e+07, -1.3864920095287e+07]
[-1.3864482686299e+07, -1.3864482686299e+07]
[-1.3864042209294e+07, -1.3864042209294e+07]
[-1.3863598667052e+07, -1.3863598667052e+07]
[-1.3863152062367e+07, -1.3863152062367e+07]
[-1.3862702398054e+07, -1.3862702398054e+07]
[-1.3862249676944e+07, -1.3862249676944e+07]
[-1.3861793901890e+07, -1.3861793901890e+07]
[-1.3861335075759e+07, -1.3861335075759e+07]
[-1.3860873201439e+07, -1.3860873201439e+07]
[-1.3860408281835e+07, -1.3860408281835e+07]
[-1.3859940319872e+07, -1.3859940319872e+07]
[-1.3859469318490e+07, -1.3859469318490e+07]
[-1.3858995280649e+07, -1.3858995280649e+07]
[-1.3858518209328e+07, -1.3858518209328e+07]
[-1.3858038107523e+07, -1.3858038107523e+07]
[-1.3857554978246e+07, -1.3857554978246e+07]
[-1.3857068824531e+07, -1.3857068824531e+07]
[-1.3856579649426e+07, -1.3856579649426e+07]
[-1.3856087456000e+07, -1.3856087456000e+07]
[-1.3855592247337e+07, -1.3855592247337e+07]
[-1.3855094026540e+07, -1.3855094026540e+07]
[-1.3854592796732e+07, -1.3854592796732e+07]
[-1.3854088561050e+07, -1.3854088561050e+07]
[-1.3853581322650e+07, -1.3853581322650e+07]
[-1.3853071084707e+07, -1.3853071084707e+07]
[-1.3852557850412e+07, -1.3852557850412e+07]
[-1.3852041622974e+07, -1.3852041622974e+07]
[-1.3851522405619e+07, -1.3851522405619e+07]
[-1.3851000201593e+07, -1.3851000201593e+07]
[-1.3850475014155e+07, -1.3850475014155e+07]
[-1.3849946846585e+07, -1.3849946846585e+07]
[-1.3849415702179e+07, -1.3849415702179e+07]
[-1.3848881584250e+07, -1.3848881584250e+07]
[-1.3848344496129e+07, -1.3848344496129e+07]
[-1.3847804441165e+07, -1.3847804441165e+07]
[-1.3847261422721e+07, -1.3847261422721e+07]
[-1.3846715444181e+07, -1.3846715444181e+07]
[-1.3846166508944e+07, -1.3846166508944e+07]
[-1.3845614620426e+07, -1.3845614620426e+07]
[-1.3845059782060e+07, -1.3845059782060e+07]
[-1.3844501997297e+07, -1.3844501997297e+07]
[-1.3843941269604e+07, -1.3843941269604e+07]
[-1.3843377602465e+07, -1.3843377602465e+07]
[-1.3842810999381e+07, -1.3842810999381e+07]
[-1.3842241463870e+07, -1.3842241463870e+07]
[-1.3841668999466e+07, -1.3841668999466e+07]
[-1.3841093609720e+07, -1.3841093609720e+07]
[-1.3840515298202e+07, -1.3840515298202e+07]
[-1.3839934068493e+07, -1.3839934068493e+07]
[-1.3839349924197e+07, -1.3839349924197e+07]
[-1.3838762868930e+07, -1.3838762868930e+07]
[-1.3838172906327e+07, -1.3838172906327e+07]
[-1.3837580040037e+07, -1.3837580040037e+07]
[-1.3836984273729e+07, -1.3836984273729e+07]
[-1.3836385611084e+07, -1.3836385611084e+07]
[-1.3835784055802e+07, -1.3835784055802e+07]
[-1.3835179611600e+07, -1.3835179611600e+07]
[-1.3834572282209e+07, -1.3834572282209e+07]
[-1.3833962071377e+07, -1.3833962071377e+07]
[-1.3833348982869e+07, -1.3833348982869e+07]
[-1.3832733020464e+07, -1.3832733020464e+07]
[-1.3832114187960e+07, -1.3832114187960e+07]
[-1.3831492489167e+07, -1.3831492489167e+07]
[-1.3830867927916e+07, -1.3830867927916e+07]
[-1.3830240508049e+07, -1.3830240508049e+07]
[-1.3829610233427e+07, -1.3829610233427e+07]
[-1.3828977107925e+07, -1.3828977107925e+07]
[-1.3828341135436e+07, -1.3828341135436e+07]
[-1.3827702319865e+07, -1.3827702319865e+07]
[-1.3827060665136e+07, -1.3827060665136e+07]
[-1.3826416175188e+07, -1.3826416175188e+07]
[-1.3825768853973e+07, -1.3825768853973e+07]
[-1.3825118705463e+07, -1.3825118705463e+07]
[-1.3824465733641e+07, -1.3824465733641e+07]
[-1.3823809942508e+07, -1.3823809942508e+07]
[-1.3823151336079e+07, -1.3823151336079e+07]
[-1.3822489918387e+07, -1.3822489918387e+07]
[-1.3821825693476e+07, -1.3821825693476e+07]
[-1.3821158665408e+07, -1.3821158665408e+07]
[-1.3820488838260e+07, -1.3820488838260e+07]
[-1.3819816216125e+07, -1.3819816216125e+07]
[-1.3819140803107e+07, -1.3819140803107e+07]
[-1.3818462603330e+07, -1.3818462603330e+07]
[-1.3817781620930e+07, -1.3817781620930e+07]
[-1.3817097860059e+07, -1.3817097860059e+07]
[-1.3816411324883e+07, -1.3816411324883e+07]
[-1.3815722019584e+07, -1.3815722019584e+07]
[-1.3815029948358e+07, -1.3815029948358e+07]
[-1.3814335115416e+07, -1.3814335115416e+07]
[-1.3813637524983e+07, -1.3813637524983e+07]
[-1.3812937181299e+07, -1.3812937181299e+07]
[-1.3812234088620e+07, -1.3812234088620e+07]
[-1.3811528251214e+07, -1.3811528251214e+07]
[-1.3810819673365e+07, -1.3810819673365e+07]
[-1.3810108359371e+07, -1.3810108359371e+07]
[-1.3809394313544e+07, -1.3809394313544e+07]
[-1.3808677540212e+07, -1.3808677540212e+07]
[-1.3807958043716e+07, -1.3807958043716e+07]
[-1.3807235828410e+07, -1.3807235828410e+07]
[-1.3806510898664e+07, -1.3806510898664e+07]
[-1.3805783258861e+07, -1.3805783258861e+07]
[-1.3805052913399e+07, -1.3805052913399e+07]
[-1.3804319866691e+07, -1.3804319866691e+07]
[-1.3803584123160e+07, -1.3803584123160e+07]
[-1.3802845687246e+07, -1.3802845687246e+07]
[-1.3802104563404e+07, -1.3802104563404e+07]
[-1.3801360756099e+07, -1.3801360756099e+07]
[-1.3800614269812e+07, -1.3800614269812e+07]
[-1.3799865109039e+07, -1.3799865109039e+07]
[-1.3799113278286e+07, -1.3799113278286e+07]
[-1.3798358782076e+07, -1.3798358782076e+07]
[-1.3797601624944e+07, -1.3797601624944e+07]
[-1.3796841811439e+07, -1.3796841811439e+07]
[-1.3796079346122e+07, -1.3796079346122e+07]
[-1.3795314233570e+07, -1.3795314233570e+07]
[-1.3794546478371e+07, -1.3794546478371e+07]
[-1.3793776085126e+07, -1.3793776085126e+07]
[-1.3793003058452e+07, -1.3793003058452e+07]
[-1.3792227402976e+07, -1.3792227402976e+07]
[-1.3791449123341e+07, -1.3791449123341e+07]
[-1.3790668224200e+07, -1.3790668224200e+07]
[-1.3789884710222e+07, -1.3789884710222e+07]
[-1.3789098586087e+07, -1.3789098586087e+07]
[-1.3788309856488e+07, -1.3788309856488e+07]
[-1.3787518526132e+07, -1.3787518526132e+07]
[-1.3786724599737e+07, -1.3786724599737e+07]
[-1.3785928082035e+07, -1.3785928082035e+07]
[-1.3785128977771e+07, -1.3785128977771e+07]
[-1.3784327291702e+07, -1.3784327291702e+07]
[-1.3783523028597e+07, -1.3783523028597e+07]
[-1.3782716193239e+07, -1.3782716193239e+07]
[-1.3781906790422e+07, -1.3781906790422e+07]
[-1.3781094824953e+07, -1.3781094824953e+07]
[-1.3780280301651e+07, -1.3780280301651e+07]
[-1.3779463225348e+07, -1.3779463225348e+07]
[-1.3778643600888e+07, -1.3778643600888e+07]
[-1.3777821433127e+07, -1.3777821433127e+07]
[-1.3776996726933e+07, -1.3776996726933e+07]
[-1.3776169487186e+07, -1.3776169487186e+07]
[-1.3775339718778e+07, -1.3775339718778e+07]
[-1.3774507426615e+07, -1.3774507426615e+07]
[-1.3773672615610e+07, -1.3773672615610e+07]
[-1.3772835290694e+07, -1.3772835290694e+07]
[-1.3771995456805e+07, -1.3771995456805e+07]
[-1.3771153118895e+07, -1.3771153118895e+07]
[-1.3770308281927e+07, -1.3770308281927e+07]
[-1.3769460950876e+07, -1.3769460950876e+07]
[-1.3768611130729e+07, -1.3768611130729e+07]
[-1.3767758826482e+07, -1.3767758826482e+07]
[-1.3766904043147e+07, -1.3766904043147e+07]
[-1.3766046785742e+07, -1.3766046785742e+07]
[-1.3765187059301e+07, -1.3765187059301e+07]
[-1.3764324868867e+07, -1.3764324868867e+07]
[-1.3763460219495e+07, -1.3763460219495e+07]
[-1.3762593116250e+07, -1.3762593116250e+07]
[-1.3761723564209e+07, -1.3761723564209e+07]
[-1.3760851568461e+07, -1.3760851568461e+07]
[-1.3759977134104e+07, -1.3759977134104e+07]
[-1.3759100266249e+07, -1.3759100266249e+07]
[-1.3758220970016e+07, -1.3758220970016e+07]
[-1.3757339250537e+07, -1.3757339250537e+07]
[-1.3756455112955e+07, -1.3756455112955e+07]
[-1.3755568562423e+07, -1.3755568562423e+07]
[-1.3754679604104e+07, -1.3754679604104e+07]
[-1.3753788243175e+07, -1.3753788243175e+07]
[-1.3752894484818e+07, -1.3752894484818e+07]
[-1.3751998334231e+07, -1.3751998334231e+07]
[-1.3751099796620e+07, -1.3751099796620e+07]
[-1.3750198877200e+07, -1.3750198877200e+07]
[-1.3749295581199e+07, -1.3749295581199e+07]
[-1.3748389913854e+07, -1.3748389913854e+07]
[-1.3747481880412e+07, -1.3747481880412e+07]
[-1.3746571486131e+07, -1.3746571486131e+07]
[-1.3745658736278e+07, -1.3745658736278e+07]
[-1.3744743636132e+07, -1.3744743636132e+07]
[-1.3743826190978e+07, -1.3743826190978e+07]
[-1.3742906406117e+07, -1.3742906406117e+07]
[-1.3741984286854e+07, -1.3741984286854e+07]
[-1.3741059838507e+07, -1.3741059838507e+07]
[-1.3740133066403e+07, -1.3740133066403e+07]
[-1.3739203975879e+07, -1.3739203975879e+07]
[-1.3738272572282e+07, -1.3738272572282e+07]
[-1.3737338860968e+07, -1.3737338860968e+07]
[-1.3736402847302e+07, -1.3736402847302e+07]
[-1.3735464536659e+07, -1.3735464536659e+07]
[-1.3734523934424e+07, -1.3734523934424e+07]
[-1.3733581045991e+07, -1.3733581045991e+07]
[-1.3732635876762e+07, -1.3732635876762e+07]
[-1.3731688432152e+07, -1.3731688432152e+07]
[-1.3730738717580e+07, -1.3730738717580e+07]
[-1.3729786738478e+07, -1.3729786738478e+07]
[-1.3728832500287e+07, -1.3728832500287e+07]
[-1.3727876008454e+07, -1.3727876008454e+07]
[-1.3726917268438e+07, -1.3726917268438e+07]
[-1.3725956285706e+07, -1.3725956285706e+07]
[-1.3724993065733e+07, -1.3724993065733e+07]
[-1.3724027614003e+07, -1.3724027614003e+07]
[-1.3723059936011e+07, -1.3723059936011e+07]
