[+0.0000000000000e+00, +7.6549308049353e+03, +0.0000000000000e+00; +0.0000000000000e+00, +0.0000000000000e+00, +0.0000000000000e+00]
[-1.5501205310380e+01, +7.6549101208158e+03, +0.0000000000000e+00; +1.2978236194223e-24, +1.7317581580343e-27, +0.0000000000000e+00]
[-3.1002307100396e+01, +7.6548563423127e+03, +0.0000000000000e+00; +2.5956385717009e-24, +6.2343120071948e-27, +0.0000000000000e+00]
[-4.6503227437161e+01, +7.6547694698753e+03, +0.0000000000000e+00; +3.8934383319793e-24, +1.3507623908910e-26, +0.0000000000000e+00]
[-6.2003888389854e+01, +7.6546495041663e+03, +0.0000000000000e+00; +5.1912163755738e-24, +2.3551638391825e-26, +0.0000000000000e+00]
[-7.7504212030427e+01, +7.6544964460612e+03, +0.0000000000000e+00; +6.4889661780331e-24, +3.6366282152686e-26, +0.0000000000000e+00]
[-9.3004120434311e+01, +7.6543102966486e+03, +0.0000000000000e+00; +7.7866812151968e-24, +5.1951464057458e-26, +0.0000000000000e+00]
[-1.0850353568112e+02, +7.6540910572298e+03, +0.0000000000000e+00; +9.0843549632550e-24, +7.0307075142681e-26, +0.0000000000000e+00]
[-1.2400237985535e+02, +7.6538387293192e+03, +0.0000000000000e+00; +1.0381980898807e-23, +9.1432988617066e-26, +0.0000000000000e+00]
[-1.3950057504710e+02, +7.6535533146443e+03, +0.0000000000000e+00; +1.1679552498920e-23, +1.1532905986333e-25, +0.0000000000000e+00]
[-1.5499804335277e+02, +7.6532348151451e+03, +0.0000000000000e+00; +1.2977063241190e-23, +1.4199512644026e-25, +0.0000000000000e+00]
[-1.7049470687576e+02, +7.6528832329747e+03, +0.0000000000000e+00; +1.4274506603798e-23, +1.7143100808504e-25, +0.0000000000000e+00]
[-1.8599048772718e+02, +7.6524985704991e+03, +0.0000000000000e+00; +1.5571876065571e-23, +2.0363650671576e-25, +0.0000000000000e+00]
[-2.0148530802655e+02, +7.6520808302968e+03, +0.0000000000000e+00; +1.6869165106041e-23, +2.3861140643425e-25, +0.0000000000000e+00]
[-2.1697908990252e+02, +7.6516300151594e+03, +0.0000000000000e+00; +1.8166367205503e-23, +2.7635547352906e-25, +0.0000000000000e+00]
[-2.3247175549356e+02, +7.6511461280911e+03, +0.0000000000000e+00; +1.9463475845074e-23, +3.1686845647874e-25, +0.0000000000000e+00]
[-2.4796322694866e+02, +7.6506291723086e+03, +0.0000000000000e+00; +2.0760484506753e-23, +3.6015008595531e-25, +0.0000000000000e+00]
[-2.6345342642805e+02, +7.6500791512415e+03, +0.0000000000000e+00; +2.2057386673480e-23, +4.0620007482805e-25, +0.0000000000000e+00]
[-2.7894227610389e+02, +7.6494960685319e+03, +0.0000000000000e+00; +2.3354175829194e-23, +4.5501811816740e-25, +0.0000000000000e+00]
[-2.9442969816100e+02, +7.6488799280343e+03, +0.0000000000000e+00; +2.4650845458891e-23, +5.0660389324923e-25, +0.0000000000000e+00]
[-3.0991561479751e+02, +7.6482307338159e+03, +0.0000000000000e+00; +2.5947389048686e-23, +5.6095705955923e-25, +0.0000000000000e+00]
[-3.2539994822562e+02, +7.6475484901562e+03, +0.0000000000000e+00; +2.7243800085869e-23, +6.1807725879763e-25, +0.0000000000000e+00]
[-3.4088262067227e+02, +7.6468332015471e+03, +0.0000000000000e+00; +2.8540072058964e-23, +6.7796411488412e-25, +0.0000000000000e+00]
[-3.5636355437986e+02, +7.6460848726928e+03, +0.0000000000000e+00; +2.9836198457791e-23, +7.4061723396296e-25, +0.0000000000000e+00]
[-3.7184267160693e+02, +7.6453035085098e+03, +0.0000000000000e+00; +3.1132172773520e-23, +8.0603620440843e-25, +0.0000000000000e+00]
[-3.8731989462888e+02, +7.6444891141267e+03, +0.0000000000000e+00; +3.2427988498734e-23, +8.7422059683041e-25, +0.0000000000000e+00]
[-4.0279514573868e+02, +7.6436416948843e+03, +0.0000000000000e+00; +3.3723639127485e-23, +9.4516996408027e-25, +0.0000000000000e+00]
[-4.1826834724755e+02, +7.6427612563353e+03, +0.0000000000000e+00; +3.5019118155354e-23, +1.0188838412570e-24, +0.0000000000000e+00]
[-4.3373942148566e+02, +7.6418478042445e+03, +0.0000000000000e+00; +3.6314419079510e-23, +1.0953617457134e-24, +0.0000000000000e+00]
[-4.4920829080285e+02, +7.6409013445884e+03, +0.0000000000000e+00; +3.7609535398765e-23, +1.1746031770628e-24, +0.0000000000000e+00]
[-4.6467487756932e+02, +7.6399218835556e+03, +0.0000000000000e+00; +3.8904460613641e-23, +1.2566076171860e-24, +0.0000000000000e+00]
[-4.8013910417633e+02, +7.6389094275461e+03, +0.0000000000000e+00; +4.0199188226418e-23, +1.3413745302379e-24, +0.0000000000000e+00]
