[+7.1710000000000e+06, +0.0000000000000e+00, +0.0000000000000e+00; +0.0000000000000e+00, +0.0000000000000e+00, +0.0000000000000e+00]
[+7.1709883740859e+06, +1.5309851267803e+04, +0.0000000000000e+00; +9.7336855904704e-25, +8.6587973074705e-28, +0.0000000000000e+00]
[+7.1709457458267e+06, +3.0619636346526e+04, +0.0000000000000e+00; +4.5423788761004e-24, +7.2733770337130e-27, +0.0000000000000e+00]
[+7.1708721154878e+06, +4.5929289047705e+04, +0.0000000000000e+00; +1.0707008723208e-23, +2.4764057848651e-26, +0.0000000000000e+00]
[+7.1707674834906e+06, +6.1238743183935e+04, +0.0000000000000e+00; +1.9467222822824e-23, +5.8879399463463e-26, +0.0000000000000e+00]
[+7.1706318504123e+06, +7.6547932569297e+04, +0.0000000000000e+00; +3.0822972848203e-23, +1.1516075484926e-25, +0.0000000000000e+00]
[+7.1704652169860e+06, +9.1856791019781e+04, +0.0000000000000e+00; +4.4774197423903e-23, +1.9914931699738e-25, +0.0000000000000e+00]
[+7.1702675841005e+06, +1.0716525235372e+05, +0.0000000000000e+00; +6.1320822126417e-23, +3.1638608325877e-25, +0.0000000000000e+00]
[+7.1700389528007e+06, +1.2247325039219e+05, +0.0000000000000e+00; +8.0462759484913e-23, +4.7241181968632e-25, +0.0000000000000e+00]
[+7.1697793242871e+06, +1.3778071895948e+05, +0.0000000000000e+00; +1.0219990898210e-22, +6.7276702538057e-25, +0.0000000000000e+00]
[+7.1694886999161e+06, +1.5308759188349e+05, +0.0000000000000e+00; +1.2653215705522e-22, +9.2299189683916e-25, +0.0000000000000e+00]
[+7.1691670812000e+06, +1.6839380299614e+05, +0.0000000000000e+00; +1.5345937709711e-22, +1.2286262923108e-24, +0.0000000000000e+00]
[+7.1688144698066e+06, +1.8369928613384e+05, +0.0000000000000e+00; +1.8298142945748e-22, +1.5952096961537e-24, +0.0000000000000e+00]
[+7.1684308675597e+06, +1.9900397513786e+05, +0.0000000000000e+00; +2.1509816144417e-22, +2.0282811831997e-24, +0.0000000000000e+00]
[+7.1680162764389e+06, +2.1430780385484e+05, +0.0000000000000e+00; +2.4980940732470e-22, +2.5333793831238e-24, +0.0000000000000e+00]
[+7.1675706985794e+06, +2.2961070613710e+05, +0.0000000000000e+00; +2.8711498832773e-22, +3.1160424448202e-24, +0.0000000000000e+00]
[+7.1670941362722e+06, +2.4491261584317e+05, +0.0000000000000e+00; +3.2701471264486e-22, +3.7818080007845e-24, +0.0000000000000e+00]
[+7.1665865919638e+06, +2.6021346683816e+05, +0.0000000000000e+00; +3.6950837543234e-22, +4.5362131315040e-24, +0.0000000000000e+00]
[+7.1660480682567e+06, +2.7551319299419e+05, +0.0000000000000e+00; +4.1459575881308e-22, +5.3847943298544e-24, +0.0000000000000e+00]
[+7.1654785679088e+06, +2.9081172819085e+05, +0.0000000000000e+00; +4.6227663187861e-22, +6.3330874655061e-24, +0.0000000000000e+00]
[+7.1648780938337e+06, +3.0610900631557e+05, +0.0000000000000e+00; +5.1255075069131e-22, +7.3866277493375e-24, +0.0000000000000e+00]
[+7.1642466491006e+06, +3.2140496126409e+05, +0.0000000000000e+00; +5.6541785828666e-22, +8.5509496978588e-24, +0.0000000000000e+00]
[+7.1635842369342e+06, +3.3669952694086e+05, +0.0000000000000e+00; +6.2087768467563e-22, +9.8315870976444e-24, +0.0000000000000e+00]
[+7.1628908607149e+06, +3.5199263725947e+05, +0.0000000000000e+00; +6.7892994684720e-22, +1.1234072969776e-23, +0.0000000000000e+00]
[+7.1621665239783e+06, +3.6728422614310e+05, +0.0000000000000e+00; +7.3957434877100e-22, +1.2763939534294e-23, +0.0000000000000e+00]
