--------------------------------------------------------------------------
| Results file:                                                          |
| - List of particles positions at each delta T step.                    |
--------------------------------------------------------------------------
[1.5142943859100342,0.15434277057647705,0.23238670825958252;0.8193528056144714,0.9801890850067139,1.5282543897628784;1.0554288625717163,1.3771133422851562,1.752518892288208;1.7433844804763794,1.492473840713501,1.0789955854415894;0.3059013783931732,0.6948976516723633,0.5776634216308594;0.23274904489517212,1.6759098768234253,0.7306520342826843;0.09465638548135757,1.796452283859253,0.0042313337326049805;0.7095773816108704,1.1661876440048218,1.8809645175933838;1.1966933012008667,0.40364745259284973,1.6735410690307617;0.9884421229362488,1.36647629737854,0.2510705888271332;1.493773102760315,1.2818971872329712,1.960750937461853;0.5560007691383362,0.2950708270072937,1.1736457347869873;1.1079983711242676,0.05762455612421036,0.5542663931846619;1.286706566810608,0.5922857522964478,0.062430497258901596;0.028753530234098434,1.5024693012237549,0.5884876251220703;0.5701565742492676,0.8153582215309143,0.7706045508384705]
[1.513698935508728,0.15557648241519928,0.2322576940059662;0.8203253746032715,0.9786409139633179,1.5289292335510254;1.0555479526519775,1.3779469728469849,1.7508516311645508;1.7433844804763794,1.4929898977279663,1.078757405281067;0.30470454692840576,0.6952747702598572,0.5777626633644104;0.23206542432308197,1.6751556396484375,0.7304138541221619;0.09439729899168015,1.7952216863632202,0.003920491319149733;0.7086445093154907,1.1657023429870605,1.8816393613815308;1.1974475383758545,0.4050961434841156,1.673183798789978;0.9870328903198242,1.3658411502838135,0.2502053380012512;1.4922646284103394,1.2803887128829956,1.9611876010894775;0.5567351579666138,0.2963311970233917,1.1726930141448975;1.1089907884597778,0.056634142994880676,0.554186999797821;1.2878180742263794,0.5926430225372314,0.06081736832857132;0.027412358671426773,1.5040968656539917,0.5897380709648132;0.5697000622749329,0.8157948851585388,0.7694334983825684]
[1.5131016969680786,0.1568208783864975,0.23212407529354095;0.8213008642196655,0.9770880937576294,1.5296061038970947;1.0556674003601074,1.3787806034088135,1.7491793632507324;1.7433844804763794,1.4935075044631958,1.0785185098648071;0.30351006984710693,0.6956530213356018,0.5778622031211853;0.2313685268163681,1.6743991374969482,0.7301749587059021;0.09413392096757889,1.7939873933792114,0.003607609309256077;0.7077088356018066,1.165224552154541,1.8823162317276;1.1982040405273438,0.4065394699573517,1.6728254556655884;0.9856194257736206,1.365204095840454,0.2493332028388977;1.4907516241073608,1.278875708580017,1.961625576019287;0.557471752166748,0.297595351934433,1.1717374324798584;1.1099704504013062,0.05564386770129204,0.5541073679924011;1.2889329195022583,0.5930013656616211,0.059199847280979156;0.02606778033077717,1.5057293176651,0.590992271900177;0.5692421793937683,0.8162328600883484,0.7682589292526245]
[1.5125062465667725,0.15806816518306732,0.23198941349983215;0.8222734332084656,0.9755399227142334,1.530280351638794;1.0557864904403687,1.3795745372772217,1.7475121021270752;1.7433844804763794,1.4940235614776611,1.0782803297042847;0.30232685804367065,0.6960301399230957,0.5779614448547363;0.2306617945432663,1.6736449003219604,0.7299367785453796;0.09386732429265976,1.7927567958831787,0.0032944807317107916;0.706775963306427,1.164748191833496,1.882991075515747;1.1989582777023315,0.40797847509384155,1.6724681854248047;0.9842056632041931,1.3645689487457275,0.24846422672271729;1.4892431497573853,1.2773672342300415,1.9620622396469116;0.5582061409950256,0.298855721950531,1.1707847118377686;1.110923171043396,0.054659754037857056,0.5540279746055603;1.2900444269180298,0.5933473706245422,0.057587720453739166;0.0247280802577734,1.507356882095337,0.5922577381134033;0.5687856674194336,0.8166695237159729,0.7670878767967224]
[1.5119107961654663,0.15932157635688782,0.23185047507286072;0.8232460021972656,0.9739917516708374,1.5309154987335205;1.0559055805206299,1.3803684711456299,1.745844841003418;1.7434240579605103,1.4945396184921265,1.0780421495437622;0.3011472225189209,0.696425199508667,0.5780660510063171;0.22994284331798553,1.6728671789169312,0.7296886444091797;0.09359666705131531,1.791526198387146,0.002980198245495558;0.7058430910110474,1.1642718315124512,1.883665919303894;1.1997125148773193,0.40941402316093445,1.672110915184021;0.9827765822410583,1.363933801651001,0.24759089946746826;1.4877346754074097,1.275858759880066,1.9624661207199097;0.5589405298233032,0.30011609196662903,1.1698319911956787;1.1118758916854858,0.05367870628833771,0.5539485812187195;1.2911559343338013,0.5936847925186157,0.05597628280520439;0.02338930033147335,1.5089844465255737,0.5935280323028564;0.5683291554450989,0.8171061873435974,0.7659168243408203]
[1.511313557624817,0.16058552265167236,0.23170876502990723;0.8242214918136597,0.9724389314651489,1.5315525531768799;1.0560250282287598,1.381164789199829,1.7441725730895996;1.7434638738632202,1.495057225227356,1.0778032541275024;0.29997265338897705,0.6968233585357666,0.578185498714447;0.22920936346054077,1.672070860862732,0.7294298410415649;0.09332156181335449,1.7902919054031372,0.002664142055436969;0.7049074172973633,1.1637940406799316,1.8843427896499634;1.2005060911178589,0.41084739565849304,1.6717525720596313;0.9813432097434998,1.3632967472076416,0.24671494960784912;1.4862216711044312,1.2743457555770874,1.9628642797470093;0.5596771240234375,0.3013802468776703,1.1688764095306396;1.112831473350525,0.052697934210300446,0.5538501143455505;1.2922707796096802,0.5940232276916504,0.05436006933450699;0.022047191858291626,1.5106168985366821,0.5948021411895752;0.5678712725639343,0.8175503611564636,0.7647422552108765]
[1.5107181072235107,0.16185274720191956,0.23156486451625824;0.8251940608024597,0.9708907604217529,1.5321877002716064;1.056144118309021,1.3819587230682373,1.7425053119659424;1.7435035705566406,1.4955732822418213,1.07756507396698;0.2988066077232361,0.6972203254699707,0.5783045887947083;0.2284657508134842,1.6712769269943237,0.7291718125343323;0.093043252825737,1.7890613079071045,0.0023477759677916765;0.7039745450019836,1.1633176803588867,1.8850176334381104;1.201300024986267,0.4122764766216278,1.6713953018188477;0.979914128780365,1.362661600112915,0.2458416223526001;1.4846878051757812,1.2728372812271118,1.9632612466812134;0.5604115128517151,0.3026406168937683,1.1679236888885498;1.1137841939926147,0.051723118871450424,0.5537508726119995;1.2933822870254517,0.5943606495857239,0.0527498722076416;0.020709682255983353,1.512244462966919,0.5960724353790283;0.5674147605895996,0.8180068731307983,0.7635712027549744]
[1.5101226568222046,0.16312623023986816,0.2314165085554123;0.8261666297912598,0.9693425893783569,1.532822847366333;1.0562632083892822,1.3827526569366455,1.7408380508422852;1.743543267250061,1.4960893392562866,1.0773268938064575;0.2976454794406891,0.6976172924041748,0.5784236788749695;0.22771002352237701,1.6704829931259155,0.7289137840270996;0.09276146441698074,1.7878307104110718,0.002030193107202649;0.703041672706604,1.1628413200378418,1.8856924772262573;1.2020939588546753,0.4136984646320343,1.671038031578064;0.9784850478172302,1.3620569705963135,0.24496778845787048;1.4831396341323853,1.2713288068771362,1.9636582136154175;0.5611459016799927,0.30390098690986633,1.16697096824646;1.1147369146347046,0.050751518458127975,0.5536516308784485;1.2944937944412231,0.5946916341781616,0.051139675080776215;0.019372833892703056,1.5138720273971558,0.5973427295684814;0.5669582486152649,0.8184633851051331,0.7624001502990723]
[1.5095254182815552,0.16441088914871216,0.23126551508903503;0.8271421194076538,0.9677897691726685,1.5334599018096924;1.056382656097412,1.3835479021072388,1.7391657829284668;1.743583083152771,1.4966069459915161,1.0770879983901978;0.2964901626110077,0.6980224847793579,0.5785431265830994;0.226939395070076,1.6696866750717163,0.7286549806594849;0.09247463196516037,1.786596417427063,0.0017103957943618298;0.7021059989929199,1.1623635292053223,1.8863693475723267;1.2028902769088745,0.4151218831539154,1.6706796884536743;0.9770516753196716,1.361459732055664,0.2440868616104126;1.4815868139266968,1.2698158025741577,1.964056372642517;0.561882495880127,0.3051651418209076,1.166015386581421;1.1156924962997437,0.049779992550611496,0.5535520911216736;1.295608639717102,0.5950101613998413,0.04952555522322655;0.018032478168606758,1.5155044794082642,0.5986168384552002;0.5665003657341003,0.8189212679862976,0.7612255811691284]
[1.508929967880249,0.16569815576076508,0.23111169040203094;0.8281146883964539,0.9662415981292725,1.534095048904419;1.0565017461776733,1.3843021392822266,1.7374985218048096;1.7436227798461914,1.4971230030059814,1.0768498182296753;0.29534199833869934,0.6984393000602722,0.5786622166633606;0.2261584997177124,1.6688710451126099,0.7283782958984375;0.09218499064445496,1.7853658199310303,0.001390225370414555;0.7011731266975403,1.1618871688842773,1.8870441913604736;1.2036842107772827,0.4165407121181488,1.6703224182128906;0.9756225943565369,1.360864281654358,0.24320857226848602;1.4800386428833008,1.2683073282241821,1.9644533395767212;0.5626168847084045,0.3064255118370056,1.165062665939331;1.1166452169418335,0.04881446063518524,0.5534528493881226;1.2967201471328735,0.5953277349472046,0.04791659861803055;0.016696805134415627,1.517132043838501,0.5998871326446533;0.5660438537597656,0.8193777799606323,0.7600545287132263]
